AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00097,Astor,John Jacob,,,,,,,,,1864,1912,American,M,,,,,Harvard,,,,,Wealthy,"Rhinebeck, NY; New York, NY"
A_00098,Athas,Daphne,,,,,,,,,1923,,American,F,,,,,,,,,,,"Gloucester, MA; New York, NY; Tehran, Iran; Carrboro, NC"
A_00099,Atherton,Gertrude Franklin Horn,,,,,,,,,1857,1948,American,F,,,,,,,,,,,"San Francisco, CA; Benicia, CA; Fair Oaks, CA"
A_00100,Atkinson,Eleanor,,,,,,,,,1863,1942,American,F,,,,,,,Teacher,,,,"Rensselaer, IN; Indianapolis, IN; Chicago, IL"
A_00101,Attanasio,A. A,,,,,,,,,1951,,American,M,,,,,,,,,,,"Newark, NJ"
A_00102,Attaway,William,,,,,,,,,1911,1986,American,M,Black,African-American,,,U of IL,,Screenwriter,Federal Writers Project,,,"Greenville, MS; Chicago, IL; New York, NY, Barbados; Los Angeles, CA"
A_00103,Atwood,Margaret,,,,,,,,,1939,,Canadian,F,Caucasian,,,,"U of Toronto, Radcliffe Coll",,,,,,"Ottawa, Canada; Toronto, Canada; Alliston, Ontario, Canada"
A_00104,Auchincloss,Louis,,,,,,,,,1917,2010,American,M,Caucasian,,,,"Yale, U of VA",,Lawyer,,,,"Lawrence, NY; New York, NY"
A_00105,Auel,Jean M,,,,,,,,,1936,,American,F,Caucasian,,,,U of Portland,,Electronics,,,,"Chicago, IL; Portland, OR"
A_00107,Austen,Jane,,,,,,,,,1775,1817,British,F,Caucasian,,,,,,,,Anglican,,"Steventon, Hampshire, UK; Chawton, Hampshire, UK"
A_00108,Auster,Paul,,,,,,,,,1947,,American,M,Caucasian,Polish-American,,,Columbia,,,,Jewish,,"Newark, NJ; South Orange, NJ; Paris, France; New York, NY"
A_00109,Austin,Anne,,,,,,,,,1895,,American,F,,,,,,,,,,,
A_00110,Austin,Jane G.,,,,,,,,,1831,1894,American,F,Caucasian,,,,,,,Transcendentalist,,,"Worcester, MA; Boston, MA; Concord, MA; Cambridge, MA"
A_00112,Ayres,Ruby M.,,,,,,,,,1883,1955,British,F,,,,,,,,,,,"London, UK; Weybridge, Surrey, UK"
A_00113,Babcock,Bernie,Julia Burnelle Smade,,,,,,,,1868,1962,American,F,,,,,Little Rock Coll,,Journalist,Federal Writers Project,,,"Union, OH; Russellville, AR; Vicksburg, MS; Little Rock, AR; Chicago, IL; New York, NY"
A_00115,Babcock,Richard,,,,,,,,,,,American,M,Caucasian,,,,"Dartmouth, U of MI Law School",,Editor,,,,"Woodstock, IL; Chicago, IL"
A_00117,Bacheller,Irving,,,,,,,,,1859,1950,American,M,Caucasian,,,,St. Lawrence U,,Journalist,,,,"Pierrepont, NY; New York, NY; Winter Park, FL; White Plains, NY"
A_00122,Baehr,Consuelo Saah,,,,,,,,,,,American,F,,,,,,,,,,,
A_00125,Bailey,Temple,,,,,,,,,1869,1953,American,F,,,,,,,,,,,
A_00126,Baily,Waldron,,,,,,,,,1871,,American,M,,,,,,,,,,,NY; NC
A_00127,Bain,Donald,,,,,,,,,1935,,American,M,,,,,,,,,,,
A_00128,Baker,Dorothy,,,,,,,,,1907,1968,American,F,Caucasian,,,,"Whittier Coll, UCLA",,Teacher,,,,"Missoula, MT; Oakland, CA; Terra Bella, CA"
A_00130,Baker,Ray Stannard,,Grayson,David,,,,,,1870,1946,American,M,Caucasian,,,,"MI State U, U of MI Law",,Journalist,Muckraker,,,"Lansing, MI; Chicago, IL; Amherst, MA"
A_00132,Baker,Willard F,,,,,,,,,,,American,,,,,,,,,,,,
