BOOK_ID,FILENAME,LIBRARIES,TITLE,AUTH_LAST,AUTH_FIRST,AUTH_ID,WRITTEN_AS,PUBL_CITY,PUBLISHER,PUBL_DATE,SOURCE,NATIONALITY,GENRE,CLEAN?,GENRE_2,BESTSELLER?
1579,00001579.txt,161,The spirit of Sweetwater,Garland,Hamlin,A_01306,,New York/Philadelphia,"""Doubleday, Page & Co.""",1898,g,American,REAL,c,,
1584,00001584.txt,207,Phases of an inferior planet,Glasgow,Ellen Anderson Gholson,A_01372,,New York,Harper & Bros.,1898,g,American,,,,
1601,00001601.txt,169,In the cage,James,Henry,A_01780,,Chicago/New York,H.S. Stone,1898,g,American,REAL,c,,
1603,00001603.txt,54,In the Sargasso Sea,Janvier,Thomas A.,A_01789,,New York/London,Harper & Bros.,1898,g,American,,,,
1606,00001606.txt,159,Prisoners of hope,Johnston,Mary,A_01828,,Boston,Houghton Mifflin Co.,1898,g,American,,,,
1608,00001608.txt,92,A wounded name,King,Charles,A_01908,,New York/London,F.T. Neely,1898,g,American,,,,
1613,00001613.txt,35,The romance of Zion chapel,Le Gallienne,Richard,A_02012,,New York/London,John Laneohn Lane,1898,g,British,,,,
1629,00001629.txt,48,Moran of the Lady Letty,Norris,Frank,A_02566,,New York,"""Doubleday, Page & Co.""",1898,g,American,,c,,
1639,00001639.txt,143,A Yankee from the West,Read,Opie Percival,A_02858,,Chicago/New York,"""Rand, McNally & Co.""",1898,g,American,,,,
1641,00001641.txt,27,Miss Theodora: a West end story,Reed,Helen Leah,A_02863,,Boston,R.G. Badger & Co.,1898,g,American,,,,
1643,00001643.txt,39,Rosin the beau,Richards,Laura Elizabeth Howe,A_02895,,Boston,Estes & Lauriat,1898,g,American,,,,
1644,00001644.txt,46,A hero of Ticonderoga,Robinson,Rowland Evans,A_02937,,,"""Burlington, Vt. : H.J. Shanley""",1898,g,American,,,,
1651,00001651.txt,43,The continental dragoon,Stephens,Robert Neilson,A_03253,,Boston,L.C. Page & Co.,1898,g,American,,,,
1666,00001666.txt,66,Lin McLean,Wister,Owen,A_03681,,New York,Harper & Bros.,1898,g,American,REAL,c,,
1378,00001378.txt,334,The pursuit of the house-boat,Bangs,John Kendrick,A_00148,,New York/London,Harper & Bros.,1897,g,American,,,,
1379,00001379.txt,58,Told in the Rockies,Barbour,A. Maynard,A_00156,,Chicago/New York,"""Rand, McNally""",1897,g,American,,,,
1382,00001382.txt,55,The ghost of Guir house,Beale,Charles Willing,A_00210,,Cincinnati,hio : Editor Pub. Co.,1897,g,American,DET,c,,
1383,00001383.txt,54,From a girl's point of view,Bell,Lilian,A_00234,,New York/London,Harper & Bros.,1897,g,American,ROM,,,
1384,00001384.txt,55,Equality,Bellamy,Edward,A_00239,,New York,D. Appleton & Co.,1897,g,American,REAL,c,,
1391,00001391.txt,112,The day of his youth,Brown,Alice,A_00419,,Boston/Cambridge,Houghton Mifflin Co.,1897,g,American,,,,
1395,00001395.txt,57,The voyage of the Rattletrap,Carruth,Hayden,A_00571,,New York,Harper & Bros.,1897,g,American,,,,
1400,00001400.txt,27,Lorraine,Chambers,Robert W.,A_00604,,New York,A.L. Burt,1897,g,American,,,,
1407,00001407.txt,76,Celebrity,Churchill,Winston,A_00649,,New York,Macmillan Co.,1897,g,American,,,,
1415,00001415.txt,45,The third violet,Crane,Stephen,A_00777,,New York,D. Appleton & Co.,1897,g,American,,c,,
1419,00001419.txt,62,Frances Waldeaux,Davis,Rebecca Harding,A_00875,,New York,Harper & Bros.,1897,g,American,REAL,,,
1420,00001420.txt,150,Soldiers of fortune,Davis,Richard Harding,A_00876,,New York,Charles Scribner's Sons,1897,g,American,,,,
1421,00001421.txt,29,Cord and creese,De Mille,James,A_00894,,New York,Harper & Bros.,1897,g,American,,,,
1426,00001426.txt,36,Vashti,Evans,Augusta J.,A_01102,,New York,G.W. Dillingham Co.,1897,g,American,,,,
1430,00001430.txt,87,The smart set,Fitch,Clyde,A_01175,,Chicago,H.S. Stone,1897,g,American,,,,
1437,00001437.txt,224,Jerome: a poor man,Freeman,Mary Eleanor Wilkins,A_01254,,New York/London,Harper & Bros.,1897,g,American,,c,,
1441,00001441.txt,56,Flint,Goodwin,Maud Wilder,A_01403,,Boston,"""Little, Brown""",1897,g,American,,,,
1443,00001443.txt,28,That affair next door,Green,Anna Katharine,A_01444,,New York/London,G.P. Putnam's Sons,1897,g,American,DET,c,,
1457,00001457.txt,147,What Maisie knew,James,Henry,A_01780,,Chicago/New York,H.S. Stone & Co.,1897,g,American,REAL,c,,
1467,00001467.txt,56,Wolfville,Lewis,Alfred Henry,A_02057,,New York,Frederick A. Stokes,1897,g,American,,,,
1472,00001472.txt,56,A romance in transit,Lynde,Francis,A_02161,,New York,Charles Scribner's Sons,1897,g,American,ROM,,,
1495,00001495.txt,92,Old Ebenezer,Read,Opie Percival,A_02858,,Chicago,Laird & Lee,1897,g,American,,,,
1497,00001497.txt,30,Captain January,Richards,Laura Elizabeth Howe,A_02895,,Boston,Estes & Lauriat,1897,g,American,,,,
1513,00001513.txt,39,An enemy to the king,Stephens,Robert Neilson,A_03253,,Boston,L.C. Page & Co.,1897,g,American,,,,
1523,00001523.txt,34,The days of Mohammed,Wilson,Anna May,A_03661,,Chicago/Ill./D.C.,ook Pub. Co..C. Cook Pub. Co.,1897,g,Canadian,,,,
1246,00001246.txt,141,Aftermath,Allen,James Lane,A_00048,,New York,Harper & Bros.,1896,g,American,,,,
1250,00001250.txt,62,A rebellious heroine,Bangs,John Kendrick,A_00148,,New York,Harper & Bros.,1896,g,American,,,,
1255,00001255.txt,66,Checkers,Blossom,Henry,A_00314,,Chicago,Herbert S. Stone & Co.,1896,g,American,,,,
1259,00001259.txt,139,Jersey street and Jersey lane,Bunner,H. C.,A_00471,,New York,Charles Scribner's Sons,1896,g,American,,,,
1261,00001261.txt,159,A lady of quality,Burnett,Frances Hodgson,A_00486,,New York,Charles Scribner's Sons,1896,g,American,,,,
1273,00001273.txt,195,The Little Regiment: and other episodes of the American Civil War,Crane,Stephen,A_00777,,New York,D. Appleton & Co.,1896,g,American,,c,,
1283,00001283.txt,33,Macaria,Evans,Augusta J.,A_01102,,New York,G.W. Dillingham,1896,g,American,,,,
1285,00001285.txt,38,Elsie Dinsmore,Finley,Martha,A_01161,,New York,"""Dodd, Mead""",1896,g,American,ROM,,,
1288,00001288.txt,179,The damnation of Theron Ware,Frederic,Harold,A_01246,,New York,Stone & Kimball,1896,g,American,,,,
1291,00001291.txt,197,Madelon,Freeman,Mary Eleanor Wilkins,A_01254,,New York,Harper & Bros.,1896,g,American,,c,,
1293,00001293.txt,115,A Venetian June,Fuller,Anna,A_01274,,New York/London,G.P. Putnam's Sons,1896,g,American,,,,
1297,00001297.txt,58,A Napa Christchild: and Benicia's letters,Gunnison,Charles A.,A_01483,,San Francisco,Press of Commercial Pub. Co.,1896,g,American,,,,
1304,00001304.txt,56,The golden fleece,Hawthorne,Julian,A_01591,,Philadelphia,J.B. Lippincott,1896,g,American,,,,
1312,00001312.txt,180,Embarrassments,James,Henry,A_01780,,New York,Macmillan Co.,1896,g,American,REAL,c,,
1315,00001315.txt,284,The country of the pointed firs,Jewett,Sarah Orne,A_01810,,Boston/Mass./Cambridge,Houghton Mifflin Co.,1896,g,American,REAL,c,,
1317,00001317.txt,67,A tame surrender,King,Charles,A_01908,,Philadelphia,J.B. Lippincott Co.,1896,g,American,,,,
1330,00001330.txt,122,Hugh Wynne: free Quaker,Mitchell,S. Weir,A_02433,,New York,Century Co.,1896,g,American,,,,
1336,00001336.txt,104,The supply at Saint Agatha's,Phelps,Elizabeth Stuart,A_02725,,Boston/New York,Houghton Mifflin Co.,1896,g,American,,,,
1345,00001345.txt,157,An Arkansas planter,Read,Opie Percival,A_02858,,Chicago/New York,"""Rand, McNally & Co.""",1896,g,American,,,,
1346,00001346.txt,84,The Jucklins,Read,Opie Percival,A_02858,,Chicago,Laird & Lee,1896,g,American,,,,
1353,00001353.txt,171,Tom Grogan,Smith,Francis Hopkinson,A_03173,,Boston/New York,Houghton Mifflin Co.,1896,g,American,,,,
1357,00001357.txt,43,Sonny: a Christmas guest,Stuart,Ruth McEnery,A_03305,,New York,Century Co.,1896,g,American,,,,
1362,00001362.txt,483,Personal recollections of Joan of Arc,Twain,Mark,A_03428,,New York,Harper & Bros.,1896,g,American,REAL,c,,
1364,00001364.txt,30,Marm Lisa,Wiggin,Kate Douglas Smith,A_03620,,Boston/New York,Houghton Mifflin Co.,1896,g,American,,,,
1365,00001365.txt,29,An ambitious man,Wilcox,Ella Wheeler,A_03622,,Chicago,E.A. Weeks,1896,g,American,,,,
1366,00001366.txt,107,Red men and white,Wister,Owen,A_03681,,New York,Harper & Bros.,1896,g,American,,c,,
1142,00001142.txt,54,Mr. Bonaparte of Corsica,Bangs,John Kendrick,A_00148,,New York,Harper & Bros.,1895,g,American,,,,
1156,00001156.txt,57,The king in yellow,Chambers,Robert W.,A_00604,,New York,F.T. Neely,1895,g,American,,,,
1160,00001160.txt,59,Daughters of the revolution and their times: 1769-1776,Coffin,Charles Carleton,A_00684,,Boston/New York/Cambridge,Houghton Mifflin Co.,1895,g,American,,,,
1161,00001161.txt,144,The red badge of courage,Crane,Stephen,A_00777,,New York,D. Appleton & Co.,1895,g,American,REAL,c,,
1162,00001162.txt,44,Taquisara,Crawford,F. Marion,A_00778,,New York/London,Macmillan Co.,1895,g,American,,,,
1176,00001176.txt,124,With the procession,Fuller,Henry Blake,A_01277,,New York,Harper & Bros.,1895,g,American,,c,,
1177,00001177.txt,119,Rose of Dutcher's Coolly,Garland,Hamlin,A_01306,,Chicago,Stone & Kimball,1895,g,American,REAL,c,,
1180,00001180.txt,56,The doctor: his wife and the clock,Green,Anna Katharine,A_01444,,New York,etc. G.P. Putnam's Sons,1895,g,American,,,,
1185,00001185.txt,68,In a hollow of the hills,Harte,Bret,A_01577,,Boston/New York,Houghton Mifflin Co.,1895,g,American,REAL,c,,
1186,00001186.txt,66,Clarence,Harte,Bret,A_01577,,London,Chatto & Windus,1895,g,American,REAL,c,,
1192,00001192.txt,38,Their wedding journey,Howells,William Dean,A_01716,,Cambridge,Printed at the Riverside Press,1895,g,American,REAL,c,,
1196,00001196.txt,229,The life of Nancy,Jewett,Sarah Orne,A_01810,,Boston/New York,Houghton Mifflin Co.,1895,g,American,,c,,
1199,00001199.txt,57,The story of the innumerable company,Jordan,David Starr,A_01845,,Palo Alto/Calif.,if. : Stanford University Press,1895,g,American,,,,
1203,00001203.txt,66,The book-bills of Narcissus,Le Gallienne,Richard,A_02012,,New York/London,G.P. Putnam's Sons.P. Putnam's Sons,1895,g,British,,,,
1205,00001205.txt,67,The three impostors,Machen,Arthur,A_02181,,Boston/London,Roberts Bros.oberts Bros.,1895,g,Welsh,,,,
1233,00001233.txt,58,A gentleman vagabond,Smith,Francis Hopkinson,A_03173,,Cambridge,Printed at the Riverside Press,1895,g,American,,,,
1238,00001238.txt,289,The story of the other wise man,Van Dyke,Henry,A_03450,,New York,Harper & Bros.,1895,g,American,,,,
1042,00001042.txt,126,A Kentucky cardinal,Allen,James Lane,A_00048,,New York,Harper & Bros.,1894,g,American,,,,
1043,00001043.txt,114,A journey in other worlds,Astor,John Jacob,A_00097,,New York,D. Appleton & Co.,1894,g,American,,,,
1046,00001046.txt,141,The water ghost and others,Bangs,John Kendrick,A_00148,,New York,Harper & Bros.,1894,g,American,,,,
1056,00001056.txt,56,In the quarter,Chambers,Robert W.,A_00604,,Chicago/New York,F.T. Neely,1894,g,American,,,,
1062,00001062.txt,45,The upper berth,Crawford,F. Marion,A_00778,,New York,etc. G.P. Putnam's Sons,1894,g,American,,,,
1065,00001065.txt,33,From the easy chair,Curtis,George William,A_00817,,New York,Harper & Bros.,1894,g,American,,,,
1070,00001070.txt,152,The honorable Peter Stirling and what people thought of him,Ford,Paul Leicester,A_01218,,New York,Grosset & Dunlap,1894,g,American,,,,
1074,00001074.txt,114,Peak and prairie,Fuller,Anna,A_01274,,New York,etc. G.P. Putnam's Sons,1894,g,American,,,,
1080,00001080.txt,57,The beautiful eyes of Ysidria,Gunnison,Charles A.,A_01483,,San Francisco,Press of Commercial Pub. Co.,1894,g,American,,,,
1084,00001084.txt,56,The land of the changing sun,Harben,Will N.,A_01539,,New York,Merriam,1894,g,American,,,,
1085,00001085.txt,28,Little Mr. Thimblefinger and his queer country,Harris,Joel Chandler,A_01559,,New York,"""McKinlay, Stone & Mackenzie""",1894,g,American,,c,,
1089,00001089.txt,245,A traveler from Altruria,Howells,William Dean,A_01716,,New York,Harper & Bros.,1894,g,American,,c,,
1099,00001099.txt,48,The great god Pan,Machen,Arthur,A_02181,,Boston/London,Roberts Bros.oberts Bros.,1894,g,Welsh,,,,
1107,00001107.txt,51,Bill Nye's history of the United States,Nye,Bill,A_02579,,Philadelphia,J.B. Lippincott Co.,1894,g,American,,,,
1108,00001108.txt,45,A modern wizard,Ottolengui,Rodrigues,A_02624,,New York,.P. Putnam's Sons,1894,g,American,,,,
1109,00001109.txt,200,The burial of the guns,Page,Thomas Nelson,A_02632,,New York,Charles Scribner's Sons,1894,g,American,,,,
1111,00001111.txt,46,The mystery of Evelin Delorme,Paine,Albert Bigelow,A_02634,,Boston,Arena Pub. Co.,1894,g,American,DET,c,,
1130,00001130.txt,127,Tom Sawyer abroad,Twain,Mark,A_03428,,New York,Charles L. Webster & Co.,1894,g,American,REAL,c,,
1131,00001131.txt,47,The tragedy of Pudd'nhead Wilson,Twain,Mark,A_03428,,"""Hartford, Conn""",American Pub. Co.,1894,g,American,REAL,c,,
936,00000936.txt,186,Coffee and repartee,Bangs,John Kendrick,A_00148,,New York,Harper & Bros.,1893,g,American,,,,
937,00000937.txt,57,Toppleton's client : or: A spirit in exile,Bangs,John Kendrick,A_00148,,New York,C.L. Webster,1893,g,American,,,,
940,00000940.txt,55,The love affairs of an old maid,Bell,Lilian,A_00234,,New York,Harper & Bros.,1893,g,American,ROM,,,
949,00000949.txt,103,Old Kaskaskia,Catherwood,Mary Hartwell,A_00588,,Boston/New York,Houghton Mifflin Co.,1893,g,American,,,,
957,00000957.txt,38,Donald and Dorothy,Dodge,Mary Mapes,A_00963,,New York,Century,1893,g,American,ROM,,,
959,00000959.txt,56,Duffels,Eggleston,Edward,A_01062,,New York,D. Appleton & Co.,1893,g,American,,,,
975,00000975.txt,52,The wedge of gold,Goodwin,C. C.,A_01402,,Salt Lake City,Tribune Job Print. Co.,1893,g,American,,,,
976,00000976.txt,66,The opinions of a philosopher,Grant,Robert,A_01434,,New York,Charles Scribner's Sons,1893,g,American,,,,
980,00000980.txt,124,Susy: a story of the plains,Harte,Bret,A_01577,,Boston/New York,Houghton Mifflin Co.,1893,g,American,REAL,c,,
983,00000983.txt,234,Samantha at the World's Fair,Holley,Marietta,A_01680,,New York,etc. Funk & Wagnalls Co.,1893,g,American,,,,
986,00000986.txt,240,The coast of Bohemia,Howells,William Dean,A_01716,,New York,Harper & Bros.,1893,g,American,REAL,c,,
993,00000993.txt,89,Foes in ambush,King,Charles,A_01908,,Philadelphia,J.B. Lippincott Co.,1893,g,American,,,,
1004,00001004.txt,50,A century too soon,Musick,John R.,A_02519,,New York,unk & Wagnalls Co.,1893,g,American,HIST,,,
1008,00001008.txt,47,The witch of Salem: or: Credulity run mad,Musick,John R.,A_02519,,New York,unk & Wagnalls Co.,1893,g,American,HIST,,,
1009,00001009.txt,46,Sustained honor,Musick,John R.,A_02519,,New York,unk & Wagnalls Co.,1893,g,American,HIST,,,
1032,00001032.txt,33,Five little Peppers midway,Lothrop,Harriet Mulford Stone,A_02128,1,New York,Grosset & Dunlap,1893,g,American,,,,
1033,00001033.txt,58,The adventures of Uncle Jeremiah and family at the great fair,Stevens,C. M.,A_03257,,Chicago,Laird & Lee,1893,g,American,,,,
842,00000842.txt,59,The master of silence,Bacheller,Irving,A_00117,,New York,C.L. Webster,1892,g,American,,,,
846,00000846.txt,57,The goddess of Atvatabar,Bradshaw,William Richard,A_00371,,New York,J.F. Douthitt,1892,g,American,FANT,c,,
861,00000861.txt,176,Van Bibber and others,Davis,Richard Harding,A_00876,,New York/London,Harper & Bros.,1892,g,American,,,,
871,00000871.txt,57,Fair to look upon,Freeley,Mary Belle,A_01252,,Chicago,"""Morrill, Higgins""",1892,g,American,ROM,,,
877,00000877.txt,66,A spoil of office,Garland,Hamlin,A_01306,,Boston/Mass.,s. : Arena Pub. Co.,1892,g,American,,c,,
879,00000879.txt,56,A little Norsk: or: Ol' pap's Flaxen,Garland,Hamlin,A_01306,,New York,D. Appleton & Co.,1892,g,American,REAL,c,,
