"ID","Category","Language","Genre","Genre2","Pubdate","Author_Last","Author_First","Work_Title","Translation","PubHouse","Prize","WinnerShortlist","Author_Gender","Author_Nationality","token_count","total_characters","protagonist_concentration","avg_sentence_length","avg_word_length","tuldava_score","event_count","speed_avg","circuitousness","speed_min","volume","goodreads_avg","total_ratings","goodreads_URL","Probability1P"
"2016_Beard,Mary_SPQRaHistoryofAncientRome_HIST.txt","NON","English","HIST","",2016,"Beard","Mary","S.P.Q.R.:AHistoryofAncientRome","","Liveright","","","F","",201129,113,0.1362165343,30.8007656968,4.68835667,5.4254597798,1830,-2.3709,0.10726,-2.4782,-3.0933,4.03,49666,"https://www.goodreads.com/search?q=+S.+P.+Q.+R.:+A+Historyof+Ancient+Rome",0
"2016_Beatty,Paul_TheSellout_PW.txt","FIC","English","PW","",2016,"Beatty","Paul","TheSellout","","PicadorPress","ManBooker","Winner","M","US",102427,34,0.2532608696,21.0192899651,4.4142078774,4.2352145178,2738,-2.336,0.13518,-2.4712,-2.8839,3.75,64186,"https://www.goodreads.com/search?q=Paul+Beatty+The+Sellout",1
"2016_Bedford,Kelly_ALightintheDark_SF.txt","FIC","English","SF","",2016,"Bedford","Kellly","ALightintheDark","","BedfordPublishing","","","F","",113772,18,0.3997124371,20.9447717231,3.9905562963,3.8731349653,7403,-2.3362,0.18405,-2.5203,-3.0198,4.47,17,"https://www.goodreads.com/search?q=+A+Lightinthe+Dark",1
"2016_Behrens,Peter_CarryMe_CT.txt","FIC","English","NYT","",2016,"Behrens","Peter","CarryMe","","HouseofAnansiPress","","","M","",140959,70,0.1915261565,14.7662895454,4.3565140261,3.6304478267,5280,-2.2048,0.19998,-2.4047,-2.956,3.74,590,"https://www.goodreads.com/search?q=Peter+Behrens+Carry+Me",1
"2016_Bell,Anna_TheBucketListtoMendaBrokenHeart_ROM.txt","FIC","English","ROM","",2016,"Bell","Anna","TheBucketListtoMendaBrokenHeart","","Zaffre","","","F","",132273,25,0.2224419179,15.8391809364,3.8026992001,3.2266798102,6537,-2.471,0.13152,-2.6026,-3.0986,3.88,5087,"https://www.goodreads.com/search?q=+The+Bucket+Listto+Menda+Broken+Heart",1
"2016_Bennett,Brit_TheMothers_BS.txt","FIC","English","BS","NYT",2016,"Bennett","Brit","TheMothers","","Riverhead","","","F","",95994,38,0.237458194,15.9405513119,4.1785962647,3.5525258391,4346,-2.4227,0.13752,-2.5602,-3.0041,3.9,98390,"https://www.goodreads.com/search?q=Brit+Bennett+The+Mothers",0
"2016_Berry,Flynn_UnderTheHarrow_CT.txt","FIC","English","NYT","",2016,"Berry","Flynn","UndertheHarrow","","PenguinGroupUSA","","","F","",71358,23,0.4058479532,12.964752907,3.9554095401,3.1091126237,3786,-2.3248,0.21147,-2.5362,-2.9761,3.4,14395,"https://www.goodreads.com/search?q=+Underthe+Harrow",1
"2016_Berry,Steve_The14thColony_MY.txt","FIC","English","MY","",2016,"Berry","Steve","The14thColony","","","","","M","",158589,53,0.1061046512,13.0946247213,4.4090861067,3.5500287323,7970,-2.1826,0.28339,-2.466,-3.0375,4.06,11052,"https://www.goodreads.com/search?q=+The14th+Colony",0
"2016_Betancourt,Ingrid_TheBlueLine_CT.txt","FIC","English","NYT","",2016,"Betancourt","Ingrid","TheBlueLine","","PenguinBooks","","","F","",96269,40,0.353316779,13.4341334078,4.2270374443,3.4478629068,5962,-2.175,0.2119,-2.3869,-2.8879,3.58,573,"https://www.goodreads.com/search?q=Ingrid+Betancourt+The+Blue+Line",0
"2016_Beverly,Bill_Dodgers_CT.txt","FIC","English","NYT","",2016,"Beverly","Bill","Dodgers","","Crown","","","M","",107376,25,0.3714896215,10.814382113,4.0788207766,2.839928679,7062,-2.3027,0.2032,-2.5059,-2.9791,3.87,5813,"https://www.goodreads.com/search?q=Bill+Beverly+Dodgers",0
"2016_Black,Holly_TheBronzeKey_MG.txt","FIC","English","MID","",2016,"Black","Holly","TheBronzeKey","","","","","F","",87085,39,0.3104619565,13.2348024316,4.1986398373,3.3321691211,5420,-2.318,0.23267,-2.5507,-2.9917,4.1,21726,"https://www.goodreads.com/search?q=Holly+Black+The+Bronze+Key",0
"2016_Black,Lisa_ThatDarkness_MY.txt","FIC","English","MY","",2016,"Black","Lisa","ThatDarkness(AGardinerandRennerNovel)","","","","","F","",103011,28,0.2539520653,16.4291866029,4.2737866287,3.7964713137,4070,-2.3398,0.19427,-2.5341,-3.0029,3.52,1930,"https://www.goodreads.com/search?q=+That+Darkness(+A+Gardinerand+Renner+Novel)",0
